
symbol,date,value 
w,Dec 2013,3
w,Aug 2014,18
w,Apr 2015,28
w,Dec 2015,40
w,Aug 2016,60
w,Apr 2017,71
w,Dec 2017,87
w,Aug 2018,104
w,Apr 2019,110
w,Dec 2019,136
w,Aug 2020,141
w,Apr 2021,149
l,Dec 2013,0
l,Aug 2014,5
l,Apr 2015,8
l,Dec 2015,16
l,Aug 2016,18
l,Apr 2017,20
l,Dec 2017,25
l,Aug 2018,27
l,Dec 2019,27
l,Aug 2020,27
l,Apr 2021,27
d,Dec 2013,0
d,Aug 2014,17
d,Apr 2015,37
d,Dec 2015,47
d,Aug 2016,75
d,Apr 2017,98
d,Dec 2017,119
d,Aug 2018,157
d,Apr 2019,190
d,Dec 2019,225
d,Aug 2020,238
d,Apr 2021,250
